level_in_m,rain,flow_m2ssqkm,elevation,flood_label
0.69,0,2.207,10,0
0.61,0,1.772,10,0
0.64,0,1.945,10,0
0.72,0,2.358,10,0
0.67,0,2.095,10,0
0.69,0,2.197,10,0
0.68,0,2.114,10,0
0.64,0,1.929,10,0
0.18,0,0.244,10,0
0.57,0,1.573,10,0
0.33,0,0.634,10,0
0.74,0,2.476,10,0
0.66,0,2.038,10,0
0.36,0,0.733,10,0
0.5,0,1.297,10,0
0.33,0,0.626,10,0
0.7,0,2.228,10,0
0.57,0,1.604,10,0
0.2,0,0.275,10,0
0.55,0,1.505,10,0
0.25,0,0.408,10,0
0.73,0,2.423,10,0
0.66,0,2.059,10,0
0.39,0,0.833,10,0
0.63,0,1.905,10,0
0.66,0,2.033,10,0
0.6,0.3,1.735,10,0
0.68,0,2.143,10,0
0.68,0,2.158,10,0
0.7,0,2.223,10,0
0.59,0,1.687,10,0
0.52,0,1.372,10,0
0.66,-1,2.048,10,0
0.24,-1,0.377,10,0
0.25,0,0.391,10,0
0.65,0,2.004,10,0
0.54,0,1.474,10,0
0.58,0,1.636,10,0
0.49,0,1.23,10,0
0.71,0,2.302,10,0
0.71,-1,2.28,10,0
0.71,0,2.306,10,0
0.25,0,0.407,10,0
0.74,0,2.449,10,0
0.6,0,1.755,10,0
0.33,0,0.632,10,0
0.43,0,0.994,10,0
0.72,0,2.36,10,0
0.56,0,1.531,10,0
0.99,0,4,10,0
2.82,0,22.927,10,0
3,0,25.4,10,0
1.14,-1,5.038,10,0
1.28,3,6.143,10,0
3.18,2.2,28.02,10,0
3.87,21.4,38.818,10,0
3.71,27.5,36.12,10,0
1.29,94,6.225,10,0
4.21,42.4,44.628,10,0
4.05,14.2,41.82,10,0
3.67,27.2,35.5,10,0
2.97,4.4,24.937,10,0
0.96,1,3.814,10,0
2.88,0.6,23.646,10,0
3.68,0,35.632,10,0
3.53,0,33.231,10,0
2.57,97.8,19.641,10,0
4.19,76.7,44.237,10,0
3.08,1.2,26.521,10,0
3.23,10.2,28.721,10,0
2.57,3.2,19.604,10,0
3.04,7,25.995,10,0
2.96,0,24.852,10,0
2.47,-1,18.357,10,0
1.83,14.6,11.098,10,0
3.11,2.4,26.901,10,0
4.09,3.6,42.595,10,0
2.27,-1,15.916,10,0
2.49,62.2,18.566,10,0
3.69,2.2,35.787,10,0
3.15,-1,27.494,10,0
2.35,0.8,16.905,10,0
2.64,4,20.448,10,0
3.9,0,39.216,10,0
2.69,9,21.104,10,0
1.67,0.1,9.527,10,0
4.1,2,42.744,10,0
3.49,0,32.616,10,0
2.82,0,22.847,10,0
3,-1,25.319,10,0
1.75,17.4,10.331,10,0
3.59,2.6,34.281,10,0
2.98,0,25.116,10,0
2.03,5.8,13.193,10,0
3.02,-1,25.621,10,0
2.43,-1,17.823,10,0
4.18,0.5,44.179,10,0
2.95,13.4,24.697,10,0
2.13,7.2,14.329,10,0
2.71,48.4,21.403,10,0
3.94,25.2,40.022,10,0
3.39,55.6,31.05,10,0
4,-1,40.961,10,0
2.86,10.4,23.405,10,0
3.73,-1,36.54,10,0
1.52,12,8.192,10,0
2.7,12.8,21.302,10,0
3.32,0,29.999,10,0
4.19,1.8,44.288,10,0
2.4,35.6,17.475,10,0
2.22,17.6,15.334,10,0
1.16,2,5.197,10,0
0.97,13.6,3.897,10,0
3.12,0.8,27.055,10,0
1.17,1.8,5.312,10,0
2.89,81,23.791,10,0
2.81,51.2,22.769,10,0
3.13,29.2,27.275,10,0
3.79,7.4,37.425,10,0
4.08,0.9,42.347,10,0
4.06,5.2,41.982,10,0
2.6,0.5,20.006,10,0
2.24,0,15.637,10,0
1.13,0,4.985,10,0
3.12,1.7,27.055,10,0
4.16,29,43.664,10,0
4.11,33.4,42.864,10,0
4.21,5,44.558,10,0
2.87,0,23.63,10,0
2.46,0,18.195,10,0
1.99,0,12.751,10,0
4.15,-1,43.618,10,0
3.41,17.6,31.335,10,0
2.92,1.2,24.301,10,0
3.44,15.2,31.843,10,0
3.17,0,27.866,10,0
1.69,7.5,9.78,10,0
3.72,-1,36.381,10,0
3.41,1.2,31.404,10,0
2.7,0.4,21.322,10,0
1.64,1.8,9.274,10,0
2.75,0,21.887,10,0
2.47,0,18.392,10,0
3.82,0,38.035,10,0
1.1,-1,4.745,10,0
3.65,0,35.233,10,0
3.76,7.9,36.948,10,0
3.51,0,32.937,10,0
3.41,0,31.414,10,0
2.65,8.4,20.605,10,0
3.92,86.2,39.665,10,0
4.1,-1,42.71,10,0
4.22,0.2,44.815,10,0
3.99,31.2,40.873,10,0
1.28,15.6,6.165,10,0
3.26,0,29.155,10,0
3.08,0.4,26.543,10,0
3.26,0,29.091,10,0
3.05,15.8,26.091,10,0
3.88,110.6,38.884,10,0
2.97,267.7,25.011,10,0
2.35,94.7,16.918,10,0
1.73,0.5,10.156,10,0
1.78,0,10.677,10,0
3.1,0,26.771,10,0
4.11,7,42.942,10,0
3.97,0,40.547,10,0
3.45,0,32.052,10,0
3.13,0,27.199,10,0
3.6,0,34.329,10,0
2.55,0,19.364,10,0
3.66,0,35.282,10,0
2.11,0,14.152,10,0
1.68,0,9.631,10,0
2.69,0,21.204,10,0
2.91,0,24.117,10,0
1.64,6.9,9.32,10,0
1.55,0,8.426,10,0
2.5,0,18.729,10,0
2.11,4.8,14.127,10,0
1.52,0,8.157,10,0
3.91,0,39.447,10,0
1.81,0,10.976,10,0
3.26,0,29.086,10,0
1.53,0,8.271,10,0
1.21,0,5.61,10,0
4.09,0,42.516,10,0
2.59,0,19.872,10,0
2.13,-1,14.295,10,0
1.12,0,4.893,10,0
2.14,0,14.497,10,0
2.2,-1,15.142,10,0
0.95,0,3.758,10,0
2.39,0,17.311,10,0
3.1,0,26.816,10,0
3.33,0,30.221,10,0
1.79,0,10.708,10,0
1.37,0,6.905,10,0
3.53,0,33.196,10,0
2.81,0,22.811,10,0
2.44,0,17.97,10,0
3.35,0,30.454,10,0
0.6,0,1.754,10,0
0.37,0,0.786,10,0
0.72,0,2.378,10,0
0.52,0,1.361,10,0
0.34,0,0.673,10,0
0.27,0,0.451,10,0
0.29,0,0.527,10,0
0.57,0,1.614,10,0
0.52,0,1.383,10,0
0.42,0,0.963,10,0
0.21,0,0.301,10,0
0.46,0,1.116,10,0
0.67,0,2.066,10,0
0.52,0,1.371,10,0
0.54,4.2,1.447,10,0
0.47,0,1.17,10,0
0.57,0,1.606,10,0
0.51,0,1.345,10,0
0.71,0,2.299,10,0
0.69,0,2.192,10,0
0.51,0,1.337,10,0
0.33,0,0.627,10,0
0.26,0,0.437,10,0
0.57,0,1.613,10,0
0.68,0,2.123,10,0
0.35,0,0.7,10,0
0.4,0,0.875,10,0
0.59,0,1.676,10,0
0.2,0,0.286,10,0
0.49,-1,1.254,10,0
0.74,0,2.452,10,0
0.23,0,0.351,10,0
0.63,0,1.902,10,0
0.69,0,2.211,10,0
0.41,0,0.915,10,0
0.61,0,1.786,10,0
0.59,0,1.697,10,0
0.29,0,0.52,10,0
0.67,-1,2.104,10,0
0.58,0,1.631,10,0
0.51,0,1.331,10,0
0.73,0,2.425,10,0
0.71,0,2.304,10,0
0.42,0,0.963,10,0
0.52,0,1.381,10,0
0.72,0,2.375,10,0
0.7,0,2.224,10,0
0.33,0,0.63,10,0
0.58,0,1.642,10,0
0.21,0,0.291,10,0
0.39,0,0.838,10,0
0.32,0,0.622,10,0
0.7,0,2.269,10,0
0.22,0,0.327,10,0
0.46,0,1.115,10,0
0.43,0,0.999,10,0
0.48,0,1.193,10,0
0.58,0,1.658,10,0
0.39,0,0.829,10,0
0.69,0,2.178,10,0
0.3,0,0.538,10,0
0.25,0,0.406,10,0
0.59,0,1.673,10,0
0.58,0,1.647,10,0
0.59,0,1.704,10,0
0.57,0,1.602,10,0
3.31,0,29.938,10,0
2.98,0,25.089,10,0
3.77,0,37.075,10,0
3.65,0,35.203,10,0
2.33,0,16.627,10,0
0.71,0,2.282,10,0
0.23,0,0.359,10,0
0.47,0,1.161,10,0
0.29,0,0.523,10,0
0.65,0,1.963,10,0
0.58,0,1.643,10,0
0.74,0,2.458,10,0
3.59,0,34.241,10,0
3.73,-1,36.476,10,0
3.82,0,37.97,10,0
1.71,-1,9.976,10,0
4.09,-1,42.548,10,0
0.52,0,1.369,10,0
0.26,0,0.426,10,0
0.72,0,2.35,10,0
0.42,0,0.955,10,0
0.58,0,1.658,10,0
0.35,0,0.71,10,0
0.36,0,0.736,10,0
1.61,0,9.005,10,0
1.42,0,7.257,10,0
3.34,0,30.4,10,0
1.55,0,8.475,10,0
3.61,0,34.469,10,0
0.54,0,1.446,10,0
0.65,0,1.97,10,0
0.64,-1,1.935,10,0
0.67,0,2.075,10,0
0.3,0,0.543,10,0
0.31,0,0.585,10,0
0.3,0,0.538,10,0
4.05,0,41.758,10,0
3.74,0,36.675,10,0
1.46,0,7.639,10,0
3.72,0,36.301,10,0
3.71,-1,36.222,10,0
0.41,0,0.902,10,0
0.46,0,1.121,10,0
0.74,0,2.466,10,0
0.38,0,0.815,10,0
0.42,0,0.949,10,0
0.32,0,0.619,10,0
0.5,0,1.302,10,0
3.93,0,39.718,10,0
3.61,0,34.515,10,0
4.11,0,42.826,10,0
2.89,0,23.898,10,0
2.63,0,20.373,10,0
0.49,0,1.24,10,0
0.66,0,2.037,10,0
0.72,0,2.346,10,0
0.3,0,0.55,10,0
0.55,0,1.522,10,0
0.58,0,1.644,10,0
0.4,0,0.88,10,0
3.32,0,29.974,10,0
2.69,0,21.149,10,0
4.04,0,41.693,10,0
1.65,0,9.331,10,0
2.41,0,17.571,10,0
0.65,0,1.981,10,0
0.7,0,2.235,10,0
0.4,0,0.887,10,0
0.53,0,1.395,10,0
0.4,0,0.868,10,0
0.68,0,2.151,10,0
0.61,0,1.779,10,0
3.18,0,27.9,10,0
3.44,0,31.824,10,0
3.77,0,37.077,10,0
1.35,-1,6.703,10,0
3.97,-1,40.512,10,0
0.74,0,2.461,10,0
0.55,0,1.489,10,0
0.59,0,1.703,10,0
0.7,0,2.248,10,0
0.55,0,1.494,10,0
0.32,0,0.601,10,0
0.5,0,1.28,10,0
2.56,0,19.516,10,0
2.7,0,21.257,10,0
2.45,0,18.062,10,0
1.67,0,9.604,10,0
1.58,0,8.712,10,0
0.39,10,0.85,10,0
0.69,0,2.212,10,0
0.45,0,1.063,10,0
0.58,0,1.656,10,0
0.35,0,0.716,10,0
0.51,0,1.344,10,0
0.71,0,2.292,10,0
4.15,0,43.614,10,0
1.96,0,12.528,10,0
3.94,0,40.004,10,0
3.58,0,34.061,10,0
3.99,0,40.769,10,0
0.5,0,1.277,10,0
0.62,0,1.831,10,0
0.46,0,1.121,10,0
0.65,0,1.979,10,0
0.45,0,1.09,10,0
0.71,0,2.317,10,0
0.58,0,1.638,10,0
3.46,0,32.238,10,0
0.86,0,3.153,10,0
2,0,12.884,10,0
3.41,0,31.351,10,0
1.22,0,5.644,10,0
0.69,0,2.167,10,0
0.58,0,1.635,10,0
0.65,0,1.998,10,0
0.33,0,0.647,10,0
0.34,0,0.684,10,0
0.35,0,0.692,10,0
0.33,0,0.637,10,0
2.07,0,13.68,10,0
2.9,0,23.947,10,0
3.73,0,36.521,10,0
1.3,0,6.285,10,0
3.74,67,36.576,10,0
0.6,6.2,1.759,10,0
0.57,0,1.61,10,0
0.38,0,0.824,10,0
0.31,0,0.567,10,0
0.6,0,1.753,10,0
0.41,0,0.928,10,0
0.18,0,0.236,10,0
2.9,0,23.986,10,0
3.32,0,30.088,10,0
2.03,0,13.208,10,0
2.1,0,13.968,10,0
3.06,-1,26.23,10,0
0.71,0.4,2.278,10,0
0.51,9.9,1.303,10,0
0.4,0.2,0.87,10,0
0.18,0,0.242,10,0
0.49,0,1.239,10,0
0.59,0,1.675,10,0
0.19,0,0.264,10,0
3.63,0.8,34.801,10,0
2.65,0,20.697,10,0
3.76,-1,37.011,10,0
3.83,0,38.201,10,0
2.25,0,15.726,10,0
0.56,0,1.561,10,0
0.33,0,0.651,10,0
0.61,0,1.8,10,0
0.7,0,2.269,10,0
0.48,0,1.208,10,0
0.67,0,2.084,10,0
0.48,0,1.213,10,0
2.9,0,24.033,10,0
2.64,-1,20.519,10,0
3.91,3.6,39.505,10,0
2.95,0.8,24.654,10,0
4.05,0,41.819,10,0
0.4,50.5,0.878,10,0
0.21,-1,0.296,10,0
0.51,0.5,1.31,10,0
0.25,24.4,0.391,10,0
0.63,0.4,1.895,10,0
0.6,6.6,1.732,10,0
0.48,0.4,1.185,10,0
4.14,0.8,43.398,10,0
1.41,5.2,7.249,10,0
2.78,0,22.373,10,0
2.35,0.6,16.912,10,0
3.98,0,40.582,10,0
0.67,0,2.108,10,0
0.64,20.8,1.941,10,0
0.58,32.8,1.64,10,0
0.54,0,1.434,10,0
0.64,-1,1.93,10,0
0.6,0,1.748,10,0
0.7,42.4,2.246,10,0
3.8,43.1,37.7,10,0
3.47,55.2,32.325,10,0
3.31,28.4,29.863,10,0
4.14,19.3,43.389,10,0
1.04,3.8,4.375,10,0
0.48,49.3,1.196,10,0
0.24,5.4,0.373,10,0
0.32,16.6,0.594,10,0
0.63,139.5,1.902,10,0
0.66,77.9,2.033,10,0
0.55,31.4,1.482,10,0
0.44,35.3,1.048,10,0
3.96,28.2,40.269,10,0
3.54,17.1,33.378,10,0
1.22,-1,5.682,10,0
1.81,0,10.963,10,0
1.54,0,8.313,10,0
0.62,0,1.817,10,0
0.48,0.5,1.205,10,0
0.28,0.1,0.477,10,0
0.22,0,0.316,10,0
0.46,0.8,1.098,10,0
0.72,6.6,2.374,10,0
0.43,0,0.992,10,0
4.13,1,43.273,10,0
1.58,0,8.718,10,0
2.42,0,17.777,10,0
1.37,0,6.848,10,0
3.85,-1,38.509,10,0
0.51,0,1.317,10,0
0.35,0,0.715,10,0
0.32,0,0.596,10,0
0.6,0,1.724,10,0
0.64,55.4,1.925,10,0
0.23,2,0.36,10,0
0.4,0,0.866,10,0
2.55,2,19.357,10,0
0.84,-1,3.067,10,0
